City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
283,carnarvon,-24.8667,113.6333,77.56,68,0,22.26,AU
284,ishigaki,24.3448,124.1572,60.93,72,0,8.05,JP
285,san bernardo,-33.6,-70.7167,95.43,27,0,7.4,CL
286,kramat,-8.1311,113.4499,72.19,94,100,2.55,ID
287,novomikhaylovskiy,44.2581,38.8578,45.61,85,100,16.06,RU
288,shumskiy,54.8318,99.1328,19.15,76,100,4.56,RU
289,zhangye,38.9342,100.4517,38.48,32,3,3.11,CN
290,thaba-tseka,-29.522,28.6084,55.74,82,67,1.21,LS
291,catamarca,-28.4696,-65.7852,98.78,27,20,3.0,AR
292,kahului,20.8947,-156.47,76.96,74,40,14.97,US
293,ashland,40.8167,-82.2665,48.87,81,3,9.91,US
294,flinders,-34.5833,150.8552,69.39,84,43,4.0,AU
295,saint-augustin,51.226,-58.6502,17.8,76,100,7.43,CA
296,beringovskiy,63.05,179.3167,1.49,94,100,13.42,RU
297,nawada,24.8833,85.5333,68.36,32,0,6.8,IN
298,strezhevoy,60.7333,77.5889,3.24,97,100,5.66,RU
299,grand-santi,4.25,-54.3833,78.75,94,39,4.23,GF
300,pindi gheb,33.2402,72.2661,65.68,42,86,4.9,PK
301,laela,-8.5667,32.05,61.41,94,99,1.95,TZ
302,oranjemund,-28.55,16.4333,64.42,83,0,3.11,NA
303,sao joao da barra,-21.6403,-41.0511,86.09,81,27,16.73,BR
304,moctezuma,29.8,-109.6667,72.57,15,0,9.04,MX
305,zyryanka,65.75,150.85,-42.47,98,40,2.57,RU
306,belaya gora,68.5333,146.4167,-43.1,100,85,2.3,RU
307,poyarkovo,49.6,128.6833,31.8,70,51,15.3,RU
308,sakaiminato,35.55,133.2333,42.78,65,75,6.91,JP
309,chumikan,54.7183,135.315,30.49,78,100,23.6,RU
310,leningradskiy,69.3833,178.4167,-17.68,97,99,11.34,RU
311,guerrero negro,27.9769,-114.0611,63.77,52,0,12.91,MX
312,normandin,48.8333,-72.5321,17.73,53,100,1.14,CA
313,avera,33.194,-82.5271,76.51,37,1,11.18,US
314,puerto cabezas,14.0351,-83.3888,84.16,84,40,6.91,NI
315,bonavista,48.6499,-53.1147,20.08,82,68,24.05,CA
316,mbandaka,0.0487,18.2603,79.83,58,100,2.84,CD
317,jishou,28.3167,109.7167,54.91,64,59,0.72,CN
318,broken hill,-31.95,141.4333,68.99,33,0,2.26,AU
319,kalmunai,7.4167,81.8167,76.53,88,100,7.81,LK
320,slave lake,55.2834,-114.769,8.58,66,0,11.5,CA
321,yar-sale,66.8333,70.8333,-22.81,100,83,3.56,RU
322,kalengwa,-13.4659,25.0027,67.5,87,93,2.28,ZM
323,port hardy,50.6996,-127.4199,42.98,75,75,13.8,CA
324,panzhihua,26.5851,101.7128,52.43,48,1,1.12,CN
325,anloga,5.7947,0.8973,82.92,79,100,9.86,GH
326,voyvozh,62.892,54.9635,-9.87,100,86,4.41,RU
327,wonthaggi,-38.6044,145.5913,60.82,71,28,6.51,AU
328,puntarenas,9.9763,-84.8384,91.06,48,41,10.96,CR
329,mandera,3.9366,41.867,87.66,21,75,11.21,KE
330,jiuquan,39.7432,98.5174,38.5,32,6,2.62,CN
331,isla mujeres,21.2311,-86.731,86.16,68,5,15.9,MX
332,kikerino,59.4667,29.6333,24.31,95,98,8.34,RU
333,berlevag,70.8578,29.0864,28.35,80,100,34.52,NO
334,bolitoc,15.7395,119.8769,73.17,75,12,4.12,PH
335,nishihara,26.1842,127.7558,60.08,67,0,10.36,JP
336,ambilobe,-13.2,49.05,73.89,96,100,0.96,MG
337,midland,31.9974,-102.0779,72.05,17,0,8.05,US
338,clarence town,-32.5833,151.7833,66.85,96,2,2.1,AU
339,nhulunbuy,-12.2333,136.7667,75.81,94,75,11.5,AU
340,dom pedrito,-30.9828,-54.6731,74.16,78,79,1.72,BR
341,kyzyl-suu,42.3414,78.0056,34.79,51,89,9.08,KG
342,vanimo,-2.6741,141.3028,76.46,92,100,9.04,PG
343,vanavara,60.34,102.2797,13.69,92,100,12.01,RU
344,ndende,-2.4008,11.3581,76.48,95,100,2.35,GA
345,plouzane,48.3833,-4.6167,42.85,68,100,10.36,FR
346,te anau,-45.4167,167.7167,46.81,89,68,3.4,NZ
347,rugeley,52.7593,-1.9369,39.7,74,96,6.22,GB
348,kruisfontein,-34.0033,24.7314,70.88,88,0,3.89,ZA
349,yumen,40.2833,97.2,38.61,34,19,7.47,CN
350,bubaque,11.2833,-15.8333,75.61,66,52,13.35,GW
351,afua,-0.1567,-50.3867,77.83,92,100,4.7,BR
352,wajir,1.7471,40.0573,88.3,25,99,12.19,KE
353,fare,-16.7,-151.0167,80.96,77,100,10.56,PF
354,hastings,50.8552,0.5729,43.92,19,100,8.21,GB
355,krapivinskiy,54.9992,86.8133,19.38,94,100,8.12,RU
356,fortuna foothills,32.6578,-114.4119,73.22,27,0,8.05,US
357,harper,4.375,-7.7169,80.55,83,3,5.97,LR
358,ebebiyin,2.1511,11.3353,74.28,86,100,3.67,GQ
359,talnakh,69.4865,88.3972,-14.8,99,100,2.71,RU
360,high level,58.5169,-117.136,-2.09,65,75,12.66,CA
361,port blair,11.6667,92.75,80.64,83,40,2.3,IN
362,vila do maio,15.1333,-23.2167,79.59,75,2,12.8,CV
363,qandala,11.472,49.8728,77.86,73,4,6.76,SO
364,banjarmasin,-3.3244,114.591,75.34,96,100,2.93,ID
365,mendi,-6.1761,143.6513,54.23,80,100,2.51,PG
366,goderich,43.7501,-81.7165,36.91,75,54,8.05,CA
367,havoysund,70.9963,24.6622,26.83,90,100,33.22,NO
368,poum,-20.2333,164.0167,80.1,77,6,5.28,NC
369,kavieng,-2.5744,150.7967,77.4,86,100,7.45,PG
370,batemans bay,-35.7167,150.1833,67.1,94,19,4.99,AU
371,pangnirtung,66.1451,-65.7125,19.4,100,75,5.75,CA
372,tezu,27.9167,96.1667,67.17,40,17,4.81,IN
373,saint-pierre,-21.3393,55.4781,76.68,88,100,6.91,RE
374,maceio,-9.6658,-35.7353,87.24,62,40,12.66,BR
375,bowen,-20.0167,148.2333,76.19,80,98,10.29,AU
376,la peca,-5.6111,-78.435,79.68,62,100,5.7,PE
377,roald,62.5833,6.1333,36.75,74,75,16.11,NO
378,vila velha,-20.3297,-40.2925,85.95,75,0,17.27,BR
379,westport,41.1415,-73.3579,45.32,73,100,13.8,US
380,podkletnoye,51.5899,39.4623,34.32,83,100,16.2,RU
381,behbahan,30.5959,50.2417,68.05,40,0,2.73,IR
382,soe,-9.8607,124.284,63.66,93,100,3.91,ID
383,skelleftea,64.7507,20.9528,24.01,98,100,4.61,SE
384,vicuna,-30.0319,-70.7081,95.77,30,0,9.46,CL
385,namatanai,-3.6667,152.4333,75.54,89,100,5.1,PG
386,rosetta,31.4044,30.4164,60.04,74,0,12.08,EG
387,eldorado,-23.7869,-54.2836,81.63,79,5,5.93,BR
388,raga,8.4596,25.678,81.3,12,57,3.89,SS
389,harwich,51.9419,1.2844,42.26,82,100,5.01,GB
390,carman,49.4992,-98.0016,30.54,86,22,3.18,CA
391,sao geraldo do araguaia,-6.4006,-48.555,79.79,92,96,1.34,BR
392,minot,48.2325,-101.2963,32.22,59,0,8.05,US
393,kisiwani,-4.1333,37.95,70.14,87,26,5.59,TZ
394,pokhara,28.2333,83.9833,62.11,34,0,6.29,NP
395,abonnema,4.7084,6.7931,81.82,78,89,5.93,NG
396,cabo san lucas,22.8909,-109.9124,74.61,50,0,7.83,MX
397,beidao,34.5686,105.8933,46.83,61,1,4.36,CN
398,pochutla,15.7432,-96.4661,88.83,38,0,11.14,MX
399,cap malheureux,-19.9842,57.6142,82.47,76,100,1.99,MU
400,lewistown,40.5992,-77.5714,43.72,79,75,12.66,US
401,ca mau,9.1769,105.15,74.77,74,100,10.65,VN
402,sao jose da coroa grande,-8.8978,-35.1478,82.26,69,10,9.01,BR
403,cravo norte,6.3017,-70.2041,94.17,34,100,7.45,CO
404,zarubino,42.63,131.0922,31.59,80,4,4.61,RU
405,taltal,-25.4,-70.4833,73.56,72,49,6.22,CL
406,peleduy,59.6289,112.7406,18.45,96,100,7.92,RU
407,jaca,42.569,-0.5499,35.98,77,1,4.85,ES
408,mehran,33.1222,46.1646,67.69,32,0,4.07,IR
409,san luis potosi,22.5,-100.5,85.21,6,16,4.47,MX
410,srednekolymsk,67.45,153.6833,-45.0,100,49,2.06,RU
